# MEAN_SAMPLE_SIZE = 250665
# TOTAL_GENES = 15721
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
SN_5.3                         15721     0.0512     0.0536     0.0114   3.4828e-06
SN_7.1                         15721      0.031     0.0331     0.0111    0.0025498
SN_7.2                         15721     0.0374      0.041     0.0108   0.00026743
STR_1.1                        15721   -0.00176   -0.00195     0.0107      0.56532
STR_10.1                       15721      0.069     0.0755     0.0109   1.1413e-10
STR_10.2                       15721     0.0571     0.0631     0.0108   5.7046e-08
STR_10.3                       15721     0.0487     0.0535     0.0109   3.8621e-06
STR_10.4                       15721     0.0732     0.0829     0.0105   1.8348e-12
STR_10.5                       15721     0.0643     0.0689     0.0111   3.5094e-09
STR_11.1                       15721     0.0706       0.08     0.0105   9.9204e-12
STR_11.2                       15721     0.0697     0.0769     0.0108   5.7033e-11
STR_11.3                       15721     0.0701     0.0762      0.011   7.9581e-11
STR_12.1                       15721     0.0603     0.0656     0.0109   1.7077e-08
STR_13.1                       15721     0.0621     0.0672      0.011   8.2993e-09
STR_13.2                       15721     0.0784     0.0837     0.0112   1.1735e-12
STR_13.3                       15721     0.0699     0.0743     0.0112   2.3775e-10
STR_13.4                       15721     0.0812     0.0868     0.0111   1.5557e-13
STR_13.5                       15721     0.0563     0.0596     0.0113    2.887e-07
STR_13.9                       15721     0.0429     0.0469     0.0109   4.3962e-05
STR_14.1                       15721     0.0595     0.0656     0.0108   1.6576e-08
STR_14.3                       15721     0.0732      0.078     0.0111   2.4158e-11
STR_14.4                       15721     0.0579     0.0629      0.011   6.7355e-08
STR_15.1                       15721     0.0471     0.0517     0.0109   7.4385e-06
STR_2.1                        15721     0.0235     0.0249     0.0114     0.019322
STR_2.3                        15721     0.0272     0.0288     0.0114    0.0083557
STR_2.5                        15721     0.0277     0.0297     0.0113    0.0068488
STR_3.1                        15721     0.0314     0.0334     0.0112    0.0025014
STR_3.2                        15721     0.0296     0.0322     0.0109    0.0033891
STR_3.3                        15721       0.02     0.0212     0.0112     0.037923
STR_4.1                        15721     0.0177     0.0196     0.0107      0.04952
STR_4.2                        15721     0.0185     0.0202     0.0109     0.044757
STR_4.3                        15721     0.0236     0.0252     0.0111      0.01706
STR_5.1                        15721     0.0222     0.0242     0.0108     0.020437
STR_6.2                        15721     0.0105     0.0114      0.011      0.16906
STR_7.1                        15721  -0.000768  -0.000839     0.0109      0.52817
STR_7.2                        15721     -0.011    -0.0118     0.0111      0.83947
TH_1.1                         15721     0.0655     0.0693     0.0113    3.443e-09
TH_1.2                         15721     0.0407     0.0439     0.0111   0.00012237
TH_1.3                         15721     0.0406     0.0438     0.0111   0.00012428
TH_10.1                        15721    0.00451    0.00496     0.0108      0.33769
TH_11.2                        15721     0.0421      0.046     0.0108    4.986e-05
TH_12.1                        15721     0.0443     0.0466     0.0113   4.4628e-05
TH_12.2                        15721     0.0431     0.0454     0.0113   6.8059e-05
TH_12.3                        15721     0.0356     0.0379     0.0112   0.00073899
TH_2.1                         15721     0.0829      0.092     0.0107     6.04e-15
TH_2.10                        15721     0.0832     0.0939     0.0105   1.5702e-15
TH_2.11                        15721     0.0757     0.0853     0.0106   3.8441e-13
TH_2.2                         15721     0.0755     0.0849     0.0106   5.2152e-13
TH_2.3                         15721     0.0783     0.0867     0.0108   1.9354e-13
TH_2.4                         15721     0.0915      0.101     0.0109   1.9848e-17
TH_2.5                         15721     0.0931      0.101      0.011   1.1083e-17
TH_2.6                         15721     0.0788     0.0866     0.0109   2.1628e-13
TH_2.7                         15721     0.0879     0.0954      0.011   6.8762e-16
TH_2.8                         15721     0.0693     0.0774     0.0107   4.0816e-11
TH_2.9                         15721     0.0882     0.0959     0.0109   4.1005e-16
TH_3.1                         15721     0.0829     0.0911     0.0108   1.0808e-14
TH_3.10                        15721     0.0852     0.0937     0.0108   2.0213e-15
TH_3.11                        15721     0.0851     0.0911     0.0111   1.2588e-14
TH_3.2                         15721     0.0728     0.0799     0.0108    9.893e-12
TH_3.3                         15721     0.0742     0.0821     0.0108   2.7875e-12
TH_3.4                         15721     0.0715      0.078     0.0109    2.756e-11
TH_3.5                         15721     0.0832     0.0894     0.0111    3.997e-14
TH_3.6                         15721     0.0739     0.0817     0.0108   4.1198e-12
TH_3.7                         15721     0.0526     0.0583     0.0108   5.2052e-07
TH_3.8                         15721     0.0784     0.0883     0.0106   7.0903e-14
TH_3.9                         15721     0.0949      0.105     0.0109   1.4881e-18
TH_4.1                         15721   -0.00805   -0.00881     0.0109      0.77097
TH_4.3                         15721   0.000318    0.00035     0.0108      0.48823
TH_4.4                         15721    0.00563    0.00612     0.0109      0.30307
TH_5.1                         15721   -0.00013  -0.000142     0.0109      0.50476
