Lvl1	Lvl2	Lvl3	Lvl4	Lvl5	Description
Neurons	CNS neurons	Immature neural	Non-glutamatergic neuroblasts	DETPH	Neuroblast-like, habenula
Glia	CNS glia	Astroependymal cells	Dentate gyrus radial glia-like cells	RGDG	Dentate gyrus radial glia-like cells
Glia	CNS glia	Astroependymal cells	Subventricular zone radial glia-like cells	RGSZ	Subventricular zone radial glia-like cells
Glia	Neural crest-like glia	Neural crest-like glia	Oligodendrocyte precursor cells	OPC	Oligodendrocytes precursor cells
Neurons	CNS neurons	Immature neural	Non-glutamatergic neuroblasts	SZNBL	Neuronal intermidate progenitor cells
Glia	CNS glia	Astroependymal cells	Ependymal cells	EPMB	Ependymal cells, midbrain
Glia	CNS glia	Astroependymal cells	Subcommissural organ hypendymal cells	HYPEN	Hypendymal cell, subcommissural organ
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBDOP2	Dopaminergic neurons, olfactory nulb
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBINH2	Inner horizontal cell, olfactory bulb
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBINH3	Inhibitory neurons, olfactory bulb
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBINH1	Inhibitory neurons, olfactory bulb
Neurons	CNS neurons	Telencephalon interneurons	Olfactory inhibitory neurons	OBINH4	Inhibitory neurons, olfactory bulb
Neurons	CNS neurons	Immature neural	Glutamatergic neuroblasts	OBNBL2	Neuroblasts, olfactory bulb
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU6	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Telencephalon projecting excitatory neurons	TEGLU1	Excitatory neurons, cerebral cortex
Neurons	CNS neurons	Telencephalon projecting neurons	Dentate gyrus granule neurons	DGGRC2	Granule neurons, dentate gyrus
Neurons	CNS neurons	Telencephalon projecting neurons	Dentate gyrus granule neurons	DGGRC1	Granule neuroblasts, dentate gyrus
Neurons	CNS neurons	Immature neural	Non-glutamatergic neuroblasts	DGNBL1	Granule neuroblasts, dentate gyrus
Neurons	CNS neurons	Immature neural	Non-glutamatergic neuroblasts	DGNBL2	Granule neuroblasts, dentate gyrus
Neurons	CNS neurons	Immature neural	Non-glutamatergic neuroblasts	OBNBL3	Neuroblasts, olfactory bulb
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	HYPEP3	Peptidergic neurons, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	HYPEP2	Peptidergic neurons, hypothalamus
Neurons	CNS neurons	Cholinergic, monoaminergic and peptidergic neurons	Peptidergic neurons	HYPEP1	Peptidergic neurons, hypothalamus
Neurons	CNS neurons	Cerebellum neurons	Cerebellum neurons	CBNBL2	Neuroblasts, cerebellum
Neurons	CNS neurons	Cerebellum neurons	Cerebellum neurons	CBGRC	Granule neurons, cerebellum
Neurons	CNS neurons	Di- and mesencephalon neurons	Di- and mesencephalon excitatory neurons	CR	Cajal-Retzius cells, hippocampus
